family mu A c p alpha
2009.11.12.6.12.19 0.0138891026776944 836.432781466466 0.000586741579278494 1.50403568257481 2.49545546957883e-07
2009.11.12.6.12.40 0.0126058796058784 918.203475779652 0.000489807331518069 1.46042468186334 2.83791198519441e-07
2009.9.11.0.11.15 0.0196418749353966 857.670928222846 0.000659424252023908 1.5827475651307 2.69232518808018e-07
2009.9.12.20.50.43 0.0140995774570364 818.093652972468 0.000584189193745071 1.4989690105576 1.36919259039248e-07
2009.9.12.21.0.19 0.00243997282960776 702.097421523868 0.00116715002529065 1.8307624284317 4.16474628645147e-07
2009.9.12.21.1.54 1.86388588641694e-06 6.27230786268322e+254 3.90106507837696e+51 1.06815684893421 64.8028699393741
2009.9.12.21.4.29 0.0216095148443417 734.669070728858 0.000886201316574739 1.67160921155941 5.07742219306008e-09
2009.9.12.21.7.33 0.015627786384332 717.451355739992 0.000821357838715891 1.60507990807106 2.03616260728073e-07
2009.9.12.21.8.27 0.0216855691458809 1092.79815634817 0.000797040007371998 1.88257229956815 3.55004121962251e-07
2010.3.17.17.24.4 0.020796472780926 705.479072866829 0.000866750795633758 1.64383464617574 2.06500684791889e-07
2010.3.17.7.17.47 0.00558697146357914 891.65416503839 0.000551412193640246 1.49552730971406 9.72996237334033e-12
2010.3.19.1.19.56 0.0195163346950532 924.022316683226 0.000673472654066714 1.64015661483558 2.54184213329555e-07
2010.3.19.2.19.57 0.0208637856952564 1061.97711416819 0.000571950961509779 1.62363402482245 2.00545388073953e-07
2010.5.16.15.30.36 0.0688316105244997 434.6338302379 0.00324609588131241 2.50550747156534 1.19890826831736e-07
2010.5.16.15.33.40 0.0557853064439674 522.276626713179 0.00199610757853952 2.10170216735746 2.99814335404978e-07
2010.7.24.23.35.24 0.0262195934868012 877.230970666945 0.000834670004038004 1.75066488231101 2.20499044374891e-07
2010.8.10.12.11.46 0.0177160854253278 816.69175611967 0.000919805157316585 1.76303890258289 3.23961187705123e-08
2010.8.10.5.10.52 0.0123895716018559 757.391055051454 0.000671728385301628 1.52200797714096 9.83243270332791e-09
2010.8.10.6.5.16 0.0223537783689964 1024.88866662275 0.000686452223316266 1.71545745606516 2.2717648921489e-07
2010.8.10.9.13.42 0.0216696101113515 960.922765351614 0.000713288025947161 1.70321099886692 3.95844458603889e-07
2010.8.13.21.32.27 0.0119000746932408 1456.50926602267 0.000210705064752171 1.31351419851445 7.85254439116829e-08
2010.8.13.22.48.23 0.00631306278943394 1208.90348044807 0.00029506433627921 1.3603109484883 2.08946104642778e-09
2010.8.14.22.55.49 0.00885978061314426 1636.48721830849 0.000356588471500479 1.58828487710105 6.62354744024002e-36
